X_values	Y_values	Cluster_no
2.8222	4.6723	1
3.8615	5.2383	1
7.4969	4.7704	1
4.5587	4.56	1
5.2551	4.7252	1
4.8356	4.3989	1
4.2523	4.9077	1
5.273	3.2702	1
5.4809	5.7371	1
4.6725	6.7499	4
4.3353	4.0895	1
4.9148	4.1329	1
4.6768	4.1015	1
5.7841	4.8163	1
6.8054	4.7092	1
3.1414	4.8871	1
4.8966	4.8983	1
4.4368	2.2127	1
4.8864	6.1667	1
5.9047	6.8543	1
5.1249	6.0933	1
3.521	5.4336	1
5.8608	5.1685	1
4.2153	5.2185	1
5.2339	4.6107	1
6.057	4.2488	1
5.2841	3.2217	1
5.0867	3.7769	1
4.8078	7.329	4
5.8223	4.0981	1
5.0942	6.8356	4
4.6638	4.9332	1
5.2883	2.7728	1
4.6499	5.0692	1
6.8359	5.5073	1
3.964	4.7642	1
4.0406	4.93	1
5.3158	5.6086	1
4.5714	6.2226	1
6.036	4.6835	1
4.0593	6.0322	1
4.2127	3.6688	1
5.8759	5.4189	1
4.6801	5.1403	1
5.3114	5.3001	1
5.57	3.9706	1
6.0257	5.3451	1
5.9087	3.9872	1
6.6989	5.213	1
4.3924	5.8657	1
5.1178	6.0431	1
4.3008	5.2701	1
4.5057	5.4087	1
6.4831	4.0165	1
6.0203	5.2977	1
5.447	3.8563	1
3.8713	4.0274	1
5.29	5.5223	1
3.7384	4.8234	1
4.5246	4.0293	1
4.8731	5.4383	1
5.6568	2.9966	1
6.4814	4.049	1
4.8445	5.432	1
5.2926	5.3601	1
5.5408	4.2941	1
5.3086	3.5842	1
6.0966	6.6045	1
5.1807	3.542	1
4.9542	4.9525	1
5.0638	3.2537	1
4.3887	4.8446	1
3.186	7.1935	4
4.688	5.3334	1
3.1955	4.2865	1
5.7231	4.6826	1
5.2603	5.5771	1
4.3999	4.856	1
4.4061	6.6387	4
7.186	5.7601	1
6.441	4.4803	1
4.5982	5.0142	1
3.5298	6.1555	4
5.3268	5.0095	1
4.4545	5.6667	1
6.0516	4.1359	1
4.6025	4.8866	1
5.7519	4.6016	1
5.0326	4.8197	1
3.364	4.4491	1
5.4251	4.317	1
4.4106	3.8294	1
7.022	3.5878	1
5.9821	4.9774	1
4.3875	5.0479	1
5.0549	3.2987	1
5.6264	5.0029	1
4.7505	4.0801	1
5.993	4.8502	1
4.025	3.5951	1
3.1911	4.7084	1
6.0799	5.7777	1
4.8008	4.4333	1
6.521	6.3826	1
5.5933	4.1916	1
4.5987	4.787	1
4.0579	4.1203	1
4.6995	2.9611	1
4.1845	4.7331	1
4.2011	4.3583	1
4.8798	4.5745	1
4.4288	6.3147	1
5.987	3.7753	1
4.2404	5.0436	1
5.6572	4.4176	1
5.6039	6.0065	1
5.3075	4.3997	1
5.1318	6.3615	1
4.4046	4.6524	1
3.9532	5.1818	1
-4.9625	-5.7276	3
-3.1037	-4.2269	3
-2.872	-5.8366	3
-3.8231	-3.8717	3
